INFO:build_features:Feature types: common_stock, adr, etf, closed_end_fund
INFO:build_features:9964 tickers need features | computing 9964 this run
INFO:build_features:7550/9964 tickers | 25,566,849 feature rows | 0 skipped | 10.2 tickers/s | ETA 4.0 min
INFO:build_features:7600/9964 tickers | 25,745,739 feature rows | 0 skipped | 10.2 tickers/s | ETA 3.9 min
INFO:build_features:7650/9964 tickers | 25,899,705 feature rows | 0 skipped | 10.2 tickers/s | ETA 3.8 min
INFO:build_features:7700/9964 tickers | 26,082,906 feature rows | 0 skipped | 10.2 tickers/s | ETA 3.7 min
INFO:build_features:7750/9964 tickers | 26,266,383 feature rows | 0 skipped | 10.2 tickers/s | ETA 3.6 min
INFO:build_features:7800/9964 tickers | 26,470,354 feature rows | 0 skipped | 10.2 tickers/s | ETA 3.5 min
INFO:build_features:7850/9964 tickers | 26,626,088 feature rows | 0 skipped | 10.2 tickers/s | ETA 3.4 min
INFO:build_features:7900/9964 tickers | 26,739,152 feature rows | 0 skipped | 10.3 tickers/s | ETA 3.4 min
INFO:build_features:7950/9964 tickers | 26,903,608 feature rows | 0 skipped | 10.3 tickers/s | ETA 3.3 min
INFO:build_features:8000/9964 tickers | 27,113,433 feature rows | 0 skipped | 10.3 tickers/s | ETA 3.2 min
INFO:build_features:8050/9964 tickers | 27,287,270 feature rows | 0 skipped | 10.3 tickers/s | ETA 3.1 min
INFO:build_features:8100/9964 tickers | 27,446,585 feature rows | 0 skipped | 10.3 tickers/s | ETA 3.0 min
INFO:build_features:8150/9964 tickers | 27,609,466 feature rows | 0 skipped | 10.3 tickers/s | ETA 2.9 min
INFO:build_features:8200/9964 tickers | 27,759,073 feature rows | 0 skipped | 10.3 tickers/s | ETA 2.8 min
INFO:build_features:8250/9964 tickers | 27,924,417 feature rows | 0 skipped | 10.3 tickers/s | ETA 2.8 min
INFO:build_features:8300/9964 tickers | 28,067,037 feature rows | 0 skipped | 10.3 tickers/s | ETA 2.7 min
INFO:build_features:8350/9964 tickers | 28,265,381 feature rows | 0 skipped | 10.3 tickers/s | ETA 2.6 min
INFO:build_features:8400/9964 tickers | 28,454,635 feature rows | 0 skipped | 10.3 tickers/s | ETA 2.5 min
INFO:build_features:8450/9964 tickers | 28,603,585 feature rows | 0 skipped | 10.4 tickers/s | ETA 2.4 min
INFO:build_features:8500/9964 tickers | 28,824,113 feature rows | 0 skipped | 10.4 tickers/s | ETA 2.4 min
INFO:build_features:8550/9964 tickers | 28,959,310 feature rows | 0 skipped | 10.4 tickers/s | ETA 2.3 min
INFO:build_features:8600/9964 tickers | 29,121,019 feature rows | 0 skipped | 10.4 tickers/s | ETA 2.2 min
INFO:build_features:8650/9964 tickers | 29,328,472 feature rows | 0 skipped | 10.4 tickers/s | ETA 2.1 min
INFO:build_features:8700/9964 tickers | 29,465,716 feature rows | 0 skipped | 10.4 tickers/s | ETA 2.0 min
INFO:build_features:8750/9964 tickers | 29,612,405 feature rows | 0 skipped | 10.4 tickers/s | ETA 1.9 min
INFO:build_features:8800/9964 tickers | 29,758,929 feature rows | 0 skipped | 10.4 tickers/s | ETA 1.9 min
INFO:build_features:8850/9964 tickers | 29,984,613 feature rows | 0 skipped | 10.4 tickers/s | ETA 1.8 min
INFO:build_features:8900/9964 tickers | 30,112,288 feature rows | 0 skipped | 10.4 tickers/s | ETA 1.7 min
INFO:build_features:8950/9964 tickers | 30,302,766 feature rows | 0 skipped | 10.4 tickers/s | ETA 1.6 min
INFO:build_features:9000/9964 tickers | 30,515,145 feature rows | 0 skipped | 10.4 tickers/s | ETA 1.5 min
INFO:build_features:9050/9964 tickers | 30,766,335 feature rows | 0 skipped | 10.4 tickers/s | ETA 1.5 min
INFO:build_features:9100/9964 tickers | 30,962,619 feature rows | 0 skipped | 10.4 tickers/s | ETA 1.4 min
INFO:build_features:9150/9964 tickers | 31,137,231 feature rows | 0 skipped | 10.4 tickers/s | ETA 1.3 min
INFO:build_features:9200/9964 tickers | 31,312,086 feature rows | 0 skipped | 10.4 tickers/s | ETA 1.2 min
INFO:build_features:9250/9964 tickers | 31,494,343 feature rows | 0 skipped | 10.4 tickers/s | ETA 1.1 min
INFO:build_features:9300/9964 tickers | 31,665,722 feature rows | 0 skipped | 10.4 tickers/s | ETA 1.1 min
INFO:build_features:9350/9964 tickers | 31,908,243 feature rows | 0 skipped | 10.4 tickers/s | ETA 1.0 min
INFO:build_features:9400/9964 tickers | 32,077,571 feature rows | 0 skipped | 10.4 tickers/s | ETA 0.9 min
INFO:build_features:9450/9964 tickers | 32,247,279 feature rows | 0 skipped | 10.4 tickers/s | ETA 0.8 min
INFO:build_features:9500/9964 tickers | 32,411,994 feature rows | 0 skipped | 10.4 tickers/s | ETA 0.7 min
