INFO:universe:Snapshot saved: data/symbol_snapshots/2026-09-12_nasdaqlisted.txt
INFO:universe:Snapshot saved: data/symbol_snapshots/2026-09-12_otherlisted.txt
INFO:universe:Symbol directory: 5605 NASDAQ rows, 7609 other-listed rows.
INFO:universe:Universe: 13181 listings — etf 5672, common_stock 5376, preferred 466, warrant 439, unit 372, adr 276, closed_end_fund 273, note 165, right 129, etn 13
INFO:backfill:Top-up mode: 13,114 tickers behind the latest bar
INFO:backfill:Universe 13181 tickers | 67 done | 13114 outstanding | fetching 13114 this run | period=3mo
ERROR:yfinance:$NMCO-RT: No data found, symbol may be delisted
ERROR:yfinance:
1 Failed download:
ERROR:yfinance:['NMCO-RT']: No data found, symbol may be delisted
INFO:backfill:batch 164 | 8200/13114 tickers | 486,304 rows | 1 failed | 15.8 tickers/s | ETA 5.2 min
INFO:backfill:batch 165 | 8250/13114 tickers | 489,300 rows | 1 failed | 15.8 tickers/s | ETA 5.1 min
INFO:backfill:batch 166 | 8300/13114 tickers | 492,223 rows | 1 failed | 15.8 tickers/s | ETA 5.1 min
INFO:backfill:batch 167 | 8350/13114 tickers | 495,234 rows | 1 failed | 15.8 tickers/s | ETA 5.0 min
INFO:backfill:batch 168 | 8400/13114 tickers | 498,031 rows | 1 failed | 15.8 tickers/s | ETA 5.0 min
INFO:backfill:batch 169 | 8450/13114 tickers | 500,982 rows | 1 failed | 15.8 tickers/s | ETA 4.9 min
WARNING:storage:OIMAW: rejected 1 rows with impossible prices (negative or high<low)
INFO:backfill:batch 170 | 8500/13114 tickers | 503,930 rows | 1 failed | 15.8 tickers/s | ETA 4.9 min
INFO:backfill:batch 171 | 8550/13114 tickers | 506,872 rows | 1 failed | 15.8 tickers/s | ETA 4.8 min
INFO:backfill:batch 172 | 8600/13114 tickers | 509,826 rows | 1 failed | 15.8 tickers/s | ETA 4.8 min
INFO:backfill:batch 173 | 8650/13114 tickers | 512,775 rows | 1 failed | 15.8 tickers/s | ETA 4.7 min
INFO:backfill:batch 174 | 8700/13114 tickers | 515,677 rows | 1 failed | 15.8 tickers/s | ETA 4.7 min
INFO:backfill:batch 175 | 8750/13114 tickers | 518,641 rows | 1 failed | 15.8 tickers/s | ETA 4.6 min
INFO:backfill:batch 176 | 8800/13114 tickers | 521,661 rows | 1 failed | 15.8 tickers/s | ETA 4.6 min
INFO:backfill:batch 177 | 8850/13114 tickers | 524,451 rows | 1 failed | 15.8 tickers/s | ETA 4.5 min
INFO:backfill:batch 178 | 8900/13114 tickers | 527,316 rows | 1 failed | 15.8 tickers/s | ETA 4.5 min
INFO:backfill:batch 179 | 8950/13114 tickers | 530,404 rows | 1 failed | 15.8 tickers/s | ETA 4.4 min
INFO:backfill:batch 180 | 9000/13114 tickers | 533,356 rows | 1 failed | 15.8 tickers/s | ETA 4.3 min
INFO:backfill:batch 181 | 9050/13114 tickers | 536,167 rows | 1 failed | 15.8 tickers/s | ETA 4.3 min
INFO:backfill:batch 182 | 9100/13114 tickers | 539,304 rows | 1 failed | 15.8 tickers/s | ETA 4.2 min
INFO:backfill:batch 183 | 9150/13114 tickers | 542,203 rows | 1 failed | 15.8 tickers/s | ETA 4.2 min
INFO:backfill:batch 184 | 9200/13114 tickers | 545,191 rows | 1 failed | 15.8 tickers/s | ETA 4.1 min
INFO:backfill:batch 185 | 9250/13114 tickers | 548,303 rows | 1 failed | 15.8 tickers/s | ETA 4.1 min
INFO:backfill:batch 186 | 9300/13114 tickers | 551,399 rows | 1 failed | 15.8 tickers/s | ETA 4.0 min
WARNING:storage:PTACW: rejected 1 rows with impossible prices (negative or high<low)
INFO:backfill:batch 187 | 9350/13114 tickers | 554,366 rows | 1 failed | 15.8 tickers/s | ETA 4.0 min
INFO:backfill:batch 188 | 9400/13114 tickers | 557,361 rows | 1 failed | 15.8 tickers/s | ETA 3.9 min
INFO:backfill:batch 189 | 9450/13114 tickers | 560,414 rows | 1 failed | 15.8 tickers/s | ETA 3.9 min
INFO:backfill:batch 190 | 9500/13114 tickers | 563,401 rows | 1 failed | 15.8 tickers/s | ETA 3.8 min
INFO:backfill:batch 191 | 9550/13114 tickers | 566,462 rows | 1 failed | 15.8 tickers/s | ETA 3.8 min
INFO:backfill:batch 192 | 9600/13114 tickers | 569,470 rows | 1 failed | 15.8 tickers/s | ETA 3.7 min
INFO:backfill:batch 193 | 9650/13114 tickers | 572,301 rows | 1 failed | 15.8 tickers/s | ETA 3.7 min
INFO:backfill:batch 194 | 9700/13114 tickers | 575,307 rows | 1 failed | 15.8 tickers/s | ETA 3.6 min
INFO:backfill:batch 195 | 9750/13114 tickers | 578,343 rows | 1 failed | 15.8 tickers/s | ETA 3.5 min
INFO:backfill:batch 196 | 9800/13114 tickers | 581,307 rows | 1 failed | 15.8 tickers/s | ETA 3.5 min
INFO:backfill:batch 197 | 9850/13114 tickers | 584,313 rows | 1 failed | 15.8 tickers/s | ETA 3.4 min
INFO:backfill:batch 198 | 9900/13114 tickers | 587,379 rows | 1 failed | 15.8 tickers/s | ETA 3.4 min
INFO:backfill:batch 199 | 9950/13114 tickers | 590,300 rows | 1 failed | 15.8 tickers/s | ETA 3.3 min
INFO:backfill:batch 200 | 10000/13114 tickers | 593,388 rows | 1 failed | 15.8 tickers/s | ETA 3.3 min
INFO:backfill:batch 201 | 10050/13114 tickers | 596,454 rows | 1 failed | 15.8 tickers/s | ETA 3.2 min
INFO:backfill:batch 202 | 10100/13114 tickers | 599,438 rows | 1 failed | 15.8 tickers/s | ETA 3.2 min
WARNING:storage:SAGU-WT: rejected 1 rows with impossible prices (negative or high<low)
INFO:backfill:batch 203 | 10150/13114 tickers | 602,080 rows | 1 failed | 15.8 tickers/s | ETA 3.1 min
INFO:backfill:batch 204 | 10200/13114 tickers | 604,992 rows | 1 failed | 15.8 tickers/s | ETA 3.1 min
