WARNING:build_features:--rebuild: cleared 33,837,110 existing feature rows
INFO:build_features:Feature types: common_stock, adr, etf, closed_end_fund
INFO:build_features:9975 tickers need features | computing 9975 this run
INFO:build_features:6050/9975 tickers | 20,529,912 feature rows | 0 skipped | 20.2 tickers/s | ETA 3.2 min
INFO:build_features:6100/9975 tickers | 20,702,229 feature rows | 0 skipped | 20.2 tickers/s | ETA 3.2 min
INFO:build_features:6150/9975 tickers | 20,894,105 feature rows | 0 skipped | 20.2 tickers/s | ETA 3.2 min
INFO:build_features:6200/9975 tickers | 21,063,610 feature rows | 0 skipped | 20.2 tickers/s | ETA 3.1 min
INFO:build_features:6250/9975 tickers | 21,245,987 feature rows | 0 skipped | 20.2 tickers/s | ETA 3.1 min
INFO:build_features:6300/9975 tickers | 21,437,757 feature rows | 0 skipped | 20.2 tickers/s | ETA 3.0 min
INFO:build_features:6350/9975 tickers | 21,562,598 feature rows | 0 skipped | 20.2 tickers/s | ETA 3.0 min
INFO:build_features:6400/9975 tickers | 21,773,013 feature rows | 0 skipped | 20.2 tickers/s | ETA 2.9 min
INFO:build_features:6450/9975 tickers | 21,891,299 feature rows | 0 skipped | 20.2 tickers/s | ETA 2.9 min
INFO:build_features:6500/9975 tickers | 22,118,861 feature rows | 0 skipped | 20.2 tickers/s | ETA 2.9 min
INFO:build_features:6550/9975 tickers | 22,272,802 feature rows | 0 skipped | 20.2 tickers/s | ETA 2.8 min
INFO:build_features:6600/9975 tickers | 22,454,062 feature rows | 0 skipped | 20.2 tickers/s | ETA 2.8 min
INFO:build_features:6650/9975 tickers | 22,626,490 feature rows | 0 skipped | 20.2 tickers/s | ETA 2.7 min
INFO:build_features:6700/9975 tickers | 22,770,537 feature rows | 0 skipped | 20.2 tickers/s | ETA 2.7 min
INFO:build_features:6750/9975 tickers | 22,922,994 feature rows | 0 skipped | 20.3 tickers/s | ETA 2.7 min
INFO:build_features:6800/9975 tickers | 23,143,891 feature rows | 0 skipped | 20.2 tickers/s | ETA 2.6 min
INFO:build_features:6850/9975 tickers | 23,359,234 feature rows | 0 skipped | 20.2 tickers/s | ETA 2.6 min
